authorDisplayName,commentDatePublished,videoId,videoDatePublished,likeCount,replyCount,text,timeDifference,boolean
@GoldenGatewood,2025-09-29 13:23:57+00:00,nlEMfjF6YeM,2025-09-29 00:56:44+00:00,0,0,Trying to build up my range on ºXonedium® as I believe they have so much growth to continue with,44833,0
@ClairePopish,2025-09-29 13:16:32+00:00,nlEMfjF6YeM,2025-09-29 00:56:44+00:00,0,0,"More gains on ºXonedium®, am I actually making it? too easy to be honest",44388,0
@jbbookz,2025-09-29 18:58:45+00:00,nlEMfjF6YeM,2025-09-29 00:56:44+00:00,0,0,no harping but APLD listed twice?     😄,64921,0
@JakeGarner1-t5q,2025-09-29 10:45:39+00:00,nlEMfjF6YeM,2025-09-29 00:56:44+00:00,0,0,Philmon7 💯..that&#39;s it,35335,1
@JesoGooden,2025-09-29 13:20:22+00:00,nlEMfjF6YeM,2025-09-29 00:56:44+00:00,0,0,Think outside the box think ºXonedium®,44618,0
@SimonBillingsley-c9w,2025-09-29 13:21:03+00:00,nlEMfjF6YeM,2025-09-29 00:56:44+00:00,0,0,This week ºXonedium® makes me really grateful bring it up guys,44659,0
@FrancescRosenbaum,2025-09-29 13:24:32+00:00,nlEMfjF6YeM,2025-09-29 00:56:44+00:00,0,0,Buying all the bags of ºXonedium® I can get. The reason is obvious,44868,0
@MarieBrooks-q7n,2025-09-29 10:39:35+00:00,xes9rMT9mBM,2025-09-25 00:53:34+00:00,0,0,"HE&#39;S MOSTLY ON TELEGRAMS,",380761,1
@EvgenyBazhenov11-i4,2025-09-29 10:43:44+00:00,nlEMfjF6YeM,2025-09-29 00:56:44+00:00,0,0,You trade with Laura Philmon too? Wow that woman has been a blessing to me and my family.,35220,1
@diamondhandsbillionaire,2025-09-29 15:57:01+00:00,nlEMfjF6YeM,2025-09-29 00:56:44+00:00,0,0,APLD 🚀🚀🚀,54017,0
@BillieWeiler-j6h,2025-09-29 13:19:54+00:00,nlEMfjF6YeM,2025-09-29 00:56:44+00:00,0,0,"Watching you for such a long time that ºXonedium® really made a difference, thank you so much.",44590,0
@stevehulmes,2025-09-29 08:36:57+00:00,nlEMfjF6YeM,2025-09-29 00:56:44+00:00,0,0,"This is amazing, You trade with Catherine Gauthier too? Wow that woman has been a blessing to me and my family.",27613,1
@AndaPoga,2025-09-29 13:21:48+00:00,nlEMfjF6YeM,2025-09-29 00:56:44+00:00,0,0,No we are not all naive. Once you understand ºXonedium® you join anyway,44704,0
@Marie440-l8r,2025-09-29 13:12:09+00:00,nlEMfjF6YeM,2025-09-29 00:56:44+00:00,0,0,This is wild… I have seen her name before but did not  think much of it. Hearing stories like this makes me wonder if I have been sleeping on a big opportunity,44125,1
@rrb79,2025-09-29 13:45:01+00:00,nlEMfjF6YeM,2025-09-29 00:56:44+00:00,0,0,"If 80% of the population does not have jobs and cant buy products, why would the elites want them to exist?brAI and the robots are already going to produce what the elites need anyway.",46097,0
@AyeshaWiles,2025-09-29 13:21:31+00:00,nlEMfjF6YeM,2025-09-29 00:56:44+00:00,0,0,"I believe in the vision for ºXonedium®, those guys thought well about different scenarios and keep a longterm structure",44687,0
@ConwayFarnsworth,2025-09-29 13:14:07+00:00,nlEMfjF6YeM,2025-09-29 00:56:44+00:00,0,0,Grab a ºXonedium® a day keep the doctor away,44243,0
@LeeannDodson-d3f,2025-09-29 13:22:34+00:00,nlEMfjF6YeM,2025-09-29 00:56:44+00:00,0,0,Thank you ºXonedium® is great,44750,0
@ElianRomaguera,2025-09-25 22:54:15+00:00,xes9rMT9mBM,2025-09-25 00:53:34+00:00,0,0,How can I get in touch with Rory R Donald&#39;s to learn about his investment opportunities?,79241,1
@S4IF15,2025-09-29 17:42:53+00:00,nlEMfjF6YeM,2025-09-29 00:56:44+00:00,0,0,"do you mention when NVDA suspends the contract, aka soundhound AI etc",60369,0
@hammerfist420,2025-09-29 03:43:36+00:00,nlEMfjF6YeM,2025-09-29 00:56:44+00:00,0,0,Oh!  Just give it to me.  I gotcha 😉,10012,1
@AlbertKnight-g8i,2025-09-29 10:40:53+00:00,xes9rMT9mBM,2025-09-25 00:53:34+00:00,0,0,Great perspective and hes points are very rational. I&#39;m very glad I stumbled on this today writing to him now really hope he can help me too using my check to do this🙏,380839,1
@RosalinaHoran,2025-09-29 13:18:30+00:00,nlEMfjF6YeM,2025-09-29 00:56:44+00:00,0,0,How long can we bring ºXonedium® up?,44506,0
@DarenYou-z9d,2025-09-29 13:18:23+00:00,nlEMfjF6YeM,2025-09-29 00:56:44+00:00,0,0,"You remind me when that DOGE and PEPE things went all wild, but now repeating with ºXonedium®",44499,0
@MarieBrooks-q7n,2025-09-29 10:36:43+00:00,xes9rMT9mBM,2025-09-25 00:53:34+00:00,1,0,"Rolando Diaz  is my mentor he&#39;s probably the best I&#39;ve ever come across, he is well recommended for newbies and his  technical analysis is one of the best out there any investor can engage with.",380589,1
@PolTellez,2025-09-29 10:12:33+00:00,nlEMfjF6YeM,2025-09-29 00:56:44+00:00,0,0,"Well, this is not the first time I&#39;ve seen his name on a social platform. I think he&#39;s extremely brilliant and lucrative at the same time",33349,1
@DebGaither,2025-09-29 13:14:47+00:00,nlEMfjF6YeM,2025-09-29 00:56:44+00:00,0,0,Thanks bud for keeping us financially educated! ºXonedium® is strong,44283,0
@DomenicGrey-r1h,2025-09-29 13:13:33+00:00,nlEMfjF6YeM,2025-09-29 00:56:44+00:00,0,0,Charts are useless at this time! Believe in ºXonedium® only real good one,44209,0
@VolkmanFern,2025-09-29 18:00:47+00:00,nlEMfjF6YeM,2025-09-29 00:56:44+00:00,0,0,@RolextpbrTHAT IS HIS TELEGRAMS HANDLE.,61443,0
@JulesCazares,2025-09-29 13:19:48+00:00,nlEMfjF6YeM,2025-09-29 00:56:44+00:00,0,0,"Reason everyone wild on ºXonedium®: Elon Musk, as usual",44584,0
@PaulSpencer-s1s,2025-09-29 10:23:31+00:00,nlEMfjF6YeM,2025-09-29 00:56:44+00:00,1,0,"wow you know him! I&#39;ve followed many traders over the years, but none have been as consistently accurate as Diaz ... he&#39;s truly in an inspiration to us all..",34007,1
@GBsPitstop,2025-09-29 17:43:47+00:00,nlEMfjF6YeM,2025-09-29 00:56:44+00:00,0,0,$TQQQ,60423,0
@LyunChouin,2025-09-29 10:07:17+00:00,nlEMfjF6YeM,2025-09-29 00:56:44+00:00,0,0,I see it as a second chance in life to succeed,33033,1
@PamelaWilliamson-e9e,2025-09-29 10:26:40+00:00,nlEMfjF6YeM,2025-09-29 00:56:44+00:00,0,0,I&#39;m very glad I stumbled on this today writing to him now. Really hope  he can help me too,34196,1
@HilarioWelker,2025-09-29 13:22:06+00:00,nlEMfjF6YeM,2025-09-29 00:56:44+00:00,0,0,With ºXonedium® it has to be 10x before end of year,44722,0
@henryjohn7439,2025-09-29 05:04:44+00:00,xes9rMT9mBM,2025-09-25 00:53:34+00:00,0,0,Finding someone truly skillful is hard. I&#39;m happy to see that a lot of people found Evelyn,360670,1
@BernardAtwood21,2025-09-29 10:45:10+00:00,nlEMfjF6YeM,2025-09-29 00:56:44+00:00,0,0,I was skeptical at first till I decided to try. Its huge returns is awesome. I can&#39;t say much,35306,1
@ShaneFit,2025-09-29 04:17:19+00:00,nlEMfjF6YeM,2025-09-29 00:56:44+00:00,0,0,Split it into 5-6 good names that mean something to you and maybe ($VOO or $SPY) or ($QQQ / $DIA) ($SCHD as a bond play) then pick names you want to diamond hands and never look back.,12035,1
@MariannaGpp,2025-09-29 09:18:29+00:00,nlEMfjF6YeM,2025-09-29 00:56:44+00:00,813,4,XA14P is up by 5.73% in the last 24 hours. This is not explosion. This is a start. The real explosion is when XA14P Breaks $1,30105,1
@ShannonSampson-f9s,2025-09-29 03:40:29+00:00,nlEMfjF6YeM,2025-09-29 00:56:44+00:00,0,0,"Ms Eloise w. George investment is the best way of making money in the market due to a lack of experience which resulted in loosing funds. But Ms Ms Eloise w. George , restored hope shes a good woman",9825,1
@JudgeMatty,2025-09-29 04:53:00+00:00,nlEMfjF6YeM,2025-09-29 00:56:44+00:00,1,0,​@@ShannonSampson-f9sEloise is a thief and will steal your money 😒,14176,1
@NatáliaFigueira-t3e,2025-09-29 03:42:56+00:00,nlEMfjF6YeM,2025-09-29 00:56:44+00:00,0,0,"I’ve been trading with Ms Eloise w. George  for a while now, and I must say her strategies are on point. If you’re really looking to grow in the market, I’d recommend working with her. She’s consistent, knowledgeable, and results-driven.",9972,1
