authorDisplayName,commentDatePublished,videoId,videoDatePublished,likeCount,replyCount,text,timeDifference,boolean
@LijoJohN-b8i,2025-09-29 13:07:45+00:00,nlEMfjF6YeM,2025-09-29 00:56:44+00:00,3,1,"It’s a happy day for me and I feel I must share my testimony. People work for more than 10years  just to have less than  $2m in their retirement, Meanwhile some people become multi millionaires within a short period by just making the right choices. I am a living testimony, I went from debt to making an average of $200k every month, thanks to Charlotte Parnell . I pray that anyone who reads this will be successful in life.",43861,1
@Marie440-l8r,2025-09-29 13:08:31+00:00,nlEMfjF6YeM,2025-09-29 00:56:44+00:00,0,0,This is wild… I have seen her name before but did not  think much of it. Hearing stories like this makes me wonder if I have been sleeping on a big opportunity,43907,1
@JakeGarner1-t5q,2025-09-29 10:41:27+00:00,nlEMfjF6YeM,2025-09-29 00:56:44+00:00,70,9,"I will be forever grateful to you, you have changed my entire life and I continue to preach on your behalf for the whole world to hear that with just a small investment you saved me from going into huge financial debt.
brThank you Laura Philmon",35083,1
@WilsonDavies-c3y,2025-09-29 10:42:25+00:00,nlEMfjF6YeM,2025-09-29 00:56:44+00:00,0,0,"Wow. I&#39;m a bit perplexed seeing her been mentioned here also Didn’t know she has been good to so many people too this is wonderful, I&#39;m in my fifth trade with her and it has been super.",35141,1
@BarbaraDonna-m1,2025-09-29 10:43:01+00:00,nlEMfjF6YeM,2025-09-29 00:56:44+00:00,0,0,"She is my family&#39;s personal Broker and also a personal Broker to many families in the United states, she is a licensed broker and a FINRA AGENT in the United States.",35177,1
@EvgenyBazhenov11-i4,2025-09-29 10:43:44+00:00,nlEMfjF6YeM,2025-09-29 00:56:44+00:00,0,0,You trade with Laura Philmon too? Wow that woman has been a blessing to me and my family.,35220,1
@CraigPawson-h8y1,2025-09-29 10:44:27+00:00,nlEMfjF6YeM,2025-09-29 00:56:44+00:00,0,0,"I&#39;m new at this, please how can I reach her?",35263,1
@BernardAtwood21,2025-09-29 10:45:10+00:00,nlEMfjF6YeM,2025-09-29 00:56:44+00:00,0,0,I was skeptical at first till I decided to try. Its huge returns is awesome. I can&#39;t say much,35306,1
@JakeGarner1-t5q,2025-09-29 10:45:29+00:00,nlEMfjF6YeM,2025-09-29 00:56:44+00:00,0,0,"she&#39;s mostly on Telegrams, using the user name.",35325,1
@JakeGarner1-t5q,2025-09-29 10:45:39+00:00,nlEMfjF6YeM,2025-09-29 00:56:44+00:00,0,0,Philmon7 💯..that&#39;s it,35335,1
@CraigPawson-h8y1,2025-09-29 11:08:58+00:00,nlEMfjF6YeM,2025-09-29 00:56:44+00:00,0,0,"Thank you for this,  Will definitely reach out to her now. Thanks again",36734,1
@BruceKnight-w1t,2025-09-29 10:20:35+00:00,nlEMfjF6YeM,2025-09-29 00:56:44+00:00,115,14,"I just want to express my heartfelt thanks — your insights and recommendations over the weekend played a key role in helping me reach $45K today. I started with just $6K last month, and through precise timing and strategic decisions, the journey has been nothing short of incredible. I’m truly grateful for the knowledge you’ve shared.",33831,1
@StephenFerguson-u5i,2025-09-29 10:21:22+00:00,nlEMfjF6YeM,2025-09-29 00:56:44+00:00,1,0,"That’s absolutely amazing 🎉 — congratulations on turning $6K into $45K in such a short time! 🚀 That kind of growth doesn’t happen by luck alone; it shows you’ve been disciplined, focused, and willing to act on insights with confidence.",33878,1
@BruceKnight-w1t,2025-09-29 10:21:46+00:00,nlEMfjF6YeM,2025-09-29 00:56:44+00:00,0,0,Thank you 🙏 — I really appreciate you saying that.,33902,1
@DanielleMills-j9p,2025-09-29 10:22:22+00:00,nlEMfjF6YeM,2025-09-29 00:56:44+00:00,0,0,"That’s solid growth. I’ve been in the space for a while, but I still fumble entries. Are you trading off your own strategy or following someone?",33938,1
@BruceKnight-w1t,2025-09-29 10:23:03+00:00,nlEMfjF6YeM,2025-09-29 00:56:44+00:00,0,0,Good question,33979,1
@BruceKnight-w1t,2025-09-29 10:23:20+00:00,nlEMfjF6YeM,2025-09-29 00:56:44+00:00,1,0,"Rolando Diaz  is my mentor he&#39;s probably the best I&#39;ve ever come across, he is well recommended for newbies and his  technical analysis is one of the best out there any investor can engage with.",33996,1
@PaulSpencer-s1s,2025-09-29 10:23:31+00:00,nlEMfjF6YeM,2025-09-29 00:56:44+00:00,1,0,"wow you know him! I&#39;ve followed many traders over the years, but none have been as consistently accurate as Diaz ... he&#39;s truly in an inspiration to us all..",34007,1
@WayneNelson-e1z,2025-09-29 10:24:05+00:00,nlEMfjF6YeM,2025-09-29 00:56:44+00:00,1,0,"He is a great mentor, since I found him I have even stop listening and watching other contents and just follow him coz I understand his teaching so well and easy for me to adopt",34041,1
@KathleenHopkins-w4v,2025-09-29 10:24:42+00:00,nlEMfjF6YeM,2025-09-29 00:56:44+00:00,1,0,That man has been so helpful when it comes to generating accurate signals for traders either old or new. I&#39;ll forever give him credits,34078,1
