authorDisplayName,commentDatePublished,videoId,videoDatePublished,likeCount,replyCount,text,timeDifference,boolean,count of bot:,count of human:
@SophiaSchmidt-w4w,2025-04-13 19:08:00+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,108,5,"The trade war causes stock market volatility as tariffs raise costs for businesses, particularly in manufacturing and tech. This uncertainty can reduce profits and lead to fluctuating stock prices, making investors cautious.",851821,1,163,350
@Marylucyy,2025-04-13 19:08:57+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,"I think the whole thing about holding stocks for long term will always apply. So I think you should get a quality broker who is able to analyze and pick stocks that will do well in the long term, else you will be in a long bear ride.",851878,1,,
@rose-raleigh,2025-04-13 19:09:33+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,"You have a very valid point, I started investing on my own and for a long time, the market was really ripping me off. I decided to hire a broker, even though I was skeptical at first, and I beat the market by more than 9%. I thought it was a fluke until it happened two years in a row, and so I’ve been sticking to investing via an analyst.",851914,1,,
@dianne-philbeeck,2025-04-13 19:11:30+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,"Your invt-adviser must be really good, I hope it&#39;s okay to inquire if you&#39;re still collaborating with the same invt-adviser and how I can get in touch with them?",852031,1,,
@rose-raleigh,2025-04-13 19:13:12+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,"Her name is Kelley Annette can&#39;t divulge much. Most likely, the internet should have her basic info, you can research if you like",852133,1,,
@julian-v9p1h,2025-04-13 19:14:33+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,"Thank you for sharing, I must say, Annette appears to be quite knowledgeable. After coming across her web page, I went through her resume and it was quite impressive. I reached out and scheduled a call.",852214,1,,
@debbiesanders0,2025-04-07 16:41:39+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,220,10,"You work for 42yrs to have $2m in your retirement, Meanwhile some people are putting just $20k in a meme coin for just few months and now they are multi millionaires I pray that anyone who reads this will be successful in life",324640,1,,
@phuongchuot3510,2025-04-07 16:45:08+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,How did you do that?,324849,1,,
@debbiesanders0,2025-04-07 16:49:57+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,"It&#39;s Katherine Maria Hubb doing, she&#39;s changed my life.",325138,1,,
@Sarahwaltergü,2025-04-07 16:52:41+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,"From $16,980 to $48,870 that&#39;s the minimum range of profit return every week I think it&#39;s not a bad one for me, now I have enough to pay bills and take care of my family.🎉",325302,1,,
